episode,total_reward
333,-587.7526523998939
334,-571.1541785242764
335,-571.3230129410055
336,-570.1541359666971
337,-598.1874484932583
338,-563.7593455029015
339,-562.4151732010611
340,-576.5031498638167
341,-569.2462670790215
342,-579.4667911564189
343,-572.2480120258246
344,-573.3467871397229
345,-595.4855212317799
346,-581.8482146503168
347,-583.8548804603604
348,-559.2154258159466
349,-575.627280606506
350,-599.6581832789764
351,-572.698469089295
352,-620.3193699428354
353,-567.7692289020811
354,-582.3635957941767
355,-582.1099328541352
356,-586.2794646064192
357,-571.3218279296206
358,-558.2020672871612
359,-580.5646706794598
360,-585.2029633801094
361,-588.2377558112146
362,-600.375143979414
363,-567.6401880464488
364,-606.4308860912125
365,-603.2482485482194
366,-582.3417801964949
367,-572.7586235833268
368,-617.7655526212508
369,-580.7851105288727
370,-580.5106862311928
371,-574.7814886373743
372,-559.5040613856125
373,-566.5520084670397
374,-582.7032559741292
375,-577.4958934693578
376,-552.8658695734414
377,-587.149916342492
378,-579.664017298206
379,-575.9833551807376
380,-570.8588316474475
381,-584.6854518638054
382,-595.1979634245403
383,-617.8627457823897
384,-592.6209285861405
385,-563.9276141039891
386,-603.613021010002
387,-557.6298553280026
388,-567.1179550329502
389,-587.2433133749672
390,-587.3050665115114
391,-579.2624785731185
392,-566.293749638466
393,-566.0046295559462
394,-597.5826775526887
395,-586.8152953496167
396,-578.3627195704063
397,-566.9746099211806
398,-591.2403483915264
399,-578.25691104503
400,-567.9173449239504
401,-567.0869021478517
402,-561.3183030047031
403,-581.9682601249616
404,-561.3318590687892
405,-592.4828761161483
406,-563.6058362249134
407,-566.2068700523714
408,-578.9846160204564
409,-573.1619387514676
410,-579.9560568999322
411,-565.1284422705013
412,-556.6889098066475
413,-571.1430632602431
414,-567.0648738554135
415,-578.9800016347
416,-566.3410233052175
417,-587.6050972975786
418,-568.5227501262901
419,-573.1503978592407
420,-577.5795164347951
421,-555.1193006235646
422,-559.5712424178762
423,-571.7155724633324
424,-570.941640085625
425,-585.8925066713327
426,-576.1278041782147
427,-611.5323176550531
428,-581.6638316857568
429,-590.8018653578433
430,-564.1562793047392
431,-601.6581561790551
432,-588.0965126496005
433,-573.4396385333595
434,-567.6401540193838
435,-582.2951356608571
436,-560.3307488605606
437,-565.3500734867251
438,-582.2559728918446
439,-593.7417759284937
440,-558.6040844584379
441,-577.5748491291932
442,-582.4746856723051
443,-608.6130406604765
444,-590.4246921569409
445,-595.2459890084508
446,-568.5338569956103
447,-568.9191231946917
448,-619.7199942415045
449,-566.3427214285019
450,-585.0941551703245
451,-586.8802532245784
452,-581.6801193268922
453,-569.4745408082068
454,-563.5005050599941
455,-560.4193528265936
456,-599.7176319566863
457,-588.1294255424076
458,-579.0335505517409
459,-597.1438430043138
460,-585.590617364177
461,-576.3379829376
462,-559.2126504105679
463,-598.5741450218802
464,-566.4164391510578
465,-563.8027863483888
466,-589.909087742896
467,-582.6471184471086
468,-589.4485418758143
469,-599.5860064828655
470,-572.7023628934134
